mese,fascia-anagrafica,area,prediction
1 MAGGIO,60-69,Lombardia,8.471304666529599E14
1 MAGGIO,60-69,Campania,3.5402069813738406E14
1 MAGGIO,60-69,Veneto,2.8507770604300644E14
1 MAGGIO,60-69,Lazio,2.270335407755788E14
1 MAGGIO,60-69,Sicilia,2.2678508577215103E14
1 MAGGIO,70-79,Lombardia,1.208624365330165E15
1 MAGGIO,70-79,Puglia,3.805850243724086E14
1 MAGGIO,70-79,Emilia-Romagna,2.203261576017306E14
1 MAGGIO,70-79,Piemonte,1.5049955563077503E14
1 MAGGIO,70-79,Lazio,1.4717263207969562E14
1 MAGGIO,80-89,Sicilia,2.3087021838979504E13
1 MAGGIO,80-89,Umbria,4.891592954821236E12
1 MAGGIO,80-89,Valle d'Aosta / Vallée d'Aoste,2.560572592794443E12
1 MAGGIO,80-89,Toscana,5581.766666666666
1 MAGGIO,80-89,Molise,-2.4878326413878667E12
1 MAGGIO,90,Sicilia,1.6328957232142371E13
1 MAGGIO,90,Campania,4.974578424971553E12
1 MAGGIO,90,Molise,2.0383716464479705E12
1 MAGGIO,90,Liguria,1.226860664115073E12
1 MAGGIO,90,Veneto,1354.5666666666666
1 GIUGNO,16-19,Campania,1.2925565773422264E13
1 GIUGNO,16-19,Lombardia,1.2301169991626992E13
1 GIUGNO,16-19,Sicilia,8.045930366311381E12
1 GIUGNO,16-19,Piemonte,3.4207565755378926E12
1 GIUGNO,16-19,Marche,2.5459030032070684E12
1 GIUGNO,20-29,Campania,1.1434754130737133E14
1 GIUGNO,20-29,Lombardia,6.371316660924787E13
1 GIUGNO,20-29,Sicilia,3.5149080028903574E13
1 GIUGNO,20-29,Piemonte,2.702543511925843E13
1 GIUGNO,20-29,Toscana,1.806103945092631E13
1 GIUGNO,30-39,Campania,1.1011241607095512E14
1 GIUGNO,30-39,Lombardia,7.73234807756073E13
1 GIUGNO,30-39,Sicilia,4.4010083336629445E13
1 GIUGNO,30-39,Piemonte,4.1023257386208E13
1 GIUGNO,30-39,Toscana,3.327310273841703E13
1 GIUGNO,40-49,Campania,3.3821827910886525E14
1 GIUGNO,40-49,Lazio,2.1520135781349516E14
1 GIUGNO,40-49,Sicilia,2.0258570467415197E14
1 GIUGNO,40-49,Lombardia,1.3016402752902797E14
1 GIUGNO,40-49,Piemonte,7.30255779188647E13
1 GIUGNO,50-59,Sicilia,4.1392655368969825E14
1 GIUGNO,50-59,Lazio,4.115234176498286E14
1 GIUGNO,50-59,Veneto,3.4182957435259525E14
1 GIUGNO,50-59,Toscana,2.894010897526817E14
1 GIUGNO,50-59,Piemonte,2.8344466627379125E14
1 GIUGNO,60-69,Toscana,3.193639057139402E14
1 GIUGNO,60-69,Piemonte,1.521657406553216E14
1 GIUGNO,60-69,Emilia-Romagna,1.0780177912591484E14
1 GIUGNO,60-69,Friuli-Venezia Giulia,6.667705665993184E13
1 GIUGNO,60-69,Marche,6.2194953137728516E13
1 GIUGNO,70-79,Valle d'Aosta / Vallée d'Aoste,-6.422970207143004E12
1 GIUGNO,70-79,Basilicata,-7.715615763662096E12
1 GIUGNO,70-79,Provincia Autonoma Trento,-1.3502589487977303E13
1 GIUGNO,70-79,Provincia Autonoma Bolzano / Bozen,-2.4378616060228105E13
1 GIUGNO,70-79,Friuli-Venezia Giulia,-2.7485979105694117E13
1 GIUGNO,80-89,Provincia Autonoma Trento,1.1278863120479254E13
1 GIUGNO,80-89,Valle d'Aosta / Vallée d'Aoste,1.4685936714608162E12
1 GIUGNO,80-89,Provincia Autonoma Bolzano / Bozen,-2.1575242352656895E12
1 GIUGNO,80-89,Basilicata,-3.9916885088582266E12
1 GIUGNO,80-89,Molise,-5.919386711436195E12
1 GIUGNO,90,Provincia Autonoma Trento,2.0962279020767905E12
1 GIUGNO,90,Veneto,561.25
1 GIUGNO,90,Valle d'Aosta / Vallée d'Aoste,11.65
1 GIUGNO,90,Provincia Autonoma Bolzano / Bozen,-3.665585373500523E11
1 GIUGNO,90,Basilicata,-1.000968788117095E12
